Year,Film,Nominated AA,Nominated WGA BAS,Nominated WGA BOS,Nominated Baftas BD,Nominated CC BD,Nominated GG BActress Supp,Nominated GG BActor Supp,Nominated GG BActress Comedy/Musical,Nominated GG BActress Drama,Nominated GG BActor Comedy/Musical,Nominated GG BActor Drama,Nominated SAG BActor Supp,Nominated SAG BActress Supp,Nominated SAG BA,Nominated SAG BActress,Nominated GG SP,Nominated GG BD,Nominated GG BP Comedy/Musical,Nominated GG BP Drama,Nominated Baftas BP,Nominated CC BP,Nominated DGA,Nominated SAG Best Ensemble,Nominated PGA BP,IMDb Rating,Runtime (mins),Genres,Num. Votes(IMDb),Release Date (month/day/year)
2015 (88th Annual Awards),Adult Beginners,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,92,"comedy, drama",4883,08/09/2014
2015 (88th Annual Awards),The Age of Adaline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,112,"drama, fantasy, romance",82080,08/04/2015
2015(88th Annual Awards),Aloft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,112,drama,1821,12/02/2014
2015(88th Annual Awards),Aloha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,105,"comedy, drama, romance",35541,27/05/2015
2015(88th Annual Awards),Alvin and the Chipmunks: The Road Chip,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,92,"animation, adventure, comedy, family, fantasy, music",5274,06/12/2015
2015(88th Annual Awards),American Ultra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,96,"action, comedy, sci_fi, thriller",45149,18/08/2015
2015(88th Annual Awards),Ant-Man,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,117,"action, adventure, sci_fi",255537,29/06/2015
2015(88th Annual Awards),Ardor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,101,"drama, western",319,19/05/2014
2015(88th Annual Awards),Avengers: Age of Ultron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,141,"action, adventure, sci_fi",406669,13/04/2015
2015(88th Annual Awards),Beasts of No Nation,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,7.8,137,"drama, war",35304,03/09/2015
