Year,Film,AA,CC.BP,DGA,PGA.BP,B.BD,B.BP,CC.BD,GG.SP,GG.BP.D
2015 (88th Annual Awards),Adult Beginners,0,0,0,0,0,0,0,0,0
2015 (88th Annual Awards),The Age of Adaline,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Aloft,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Aloha,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Alvin and the Chipmunks: The Road Chip,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),American Ultra,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Ant-Man,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Ardor,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Avengers: Age of Ultron,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Beasts of No Nation,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Before We Go,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Beyond the Reach,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Big Short,1,1,1,1,1,1,0,1,0
2015(88th Annual Awards),Black Mass,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Blackhat,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Bone Tomahawk,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),A Borrowed Identity,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Boy Next Door,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Bridge of Spies,1,1,0,1,1,1,1,0,0
2015(88th Annual Awards),Brooklyn,1,1,0,1,0,0,0,0,0
2015(88th Annual Awards),Burnt,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),By the Sea,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Captive,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Carol,0,1,0,0,1,1,1,0,1
2015(88th Annual Awards),Chappie,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Child 44,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),A Christmas Star,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Cinderella,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Clouds of Sils Maria,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Coming Home,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Concussion,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Cop Car,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Creed,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Criminal Activities,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Crimson Peak,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The D Train,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Daddy’s Home,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Danish Girl,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Danny Collins,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Delka: Stand-Up Tall or Fall,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Diary of a Teenage Girl,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Divergent Series: Insurgent,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Dixieland,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Dope,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Duke of Burgundy,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Dukhtar,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Eden,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Effie Gray,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The End of the Tour,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Entourage,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Escobar: Paradise Lost,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Everest,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Every Thing Will Be Fine,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Ex Machina,0,0,0,1,0,0,0,0,0
2015(88th Annual Awards),Experimenter,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Fantastic Four,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Far from the Madding Crowd,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Felt,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Fifty Shades of Grey,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),5 Flights Up,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Focus,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),45 Years,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Freaks of Nature,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Freeheld,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Furious Seven,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Futuro Beach,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Gallows,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Gemma Bovery,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Get Hard,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Gift,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Girlhood,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Good Dinosaur,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Good Kill,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Goosebumps,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Grandma,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Guidance,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Hamlet’s Ghost,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Hateful Eight,0,0,0,0,0,0,0,1,0
2015(88th Annual Awards),Heaven Knows What,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Hitman: Agent 47,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Hot Pursuit,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Hot Tub Time Machine 2,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),Hotel Transylvania 2,0,0,0,0,0,0,0,0,0
2015(88th Annual Awards),The Hunger Games: Mockingjay - Part 2,0,0,0,0,0,0,0,0,0
