Year,Film,CC.BP,DGA,PGA.BP,B.BD,B.BP,CC.BD,GG.SP,GG.BP.D
2017 (89th Academy Awards),THE ABOLITIONISTS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ABSOLUTELY FABULOUS THE MOVIE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE ACCOUNTANT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ALICE THROUGH THE LOOKING GLASS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),Armitage.,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),Morahan.,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ALLIED,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ALMOST CHRISTMAS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ALWAYS SHINE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),AMERICAN HONEY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),AMERICAN PASTORAL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),AMERICAN WRESTLER: THE WIZARD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE ANGRY BIRDS MOVIE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ANTHROPOID,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),APRIL AND THE EXTRAORDINARY WORLD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),"ARMENIA, MY LOVE",0,0,0,0,0,0,0,0
2017 (89th Academy Awards),ARRIVAL,1,1,1,1,1,0,0,0
2017 (89th Academy Awards),ASSASSIN'S CREED,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),AUDRIE & DAISY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),AUTHOR: THE JT LEROY STORY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),AUTUMN LIGHTS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE BFG,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BAD MOMS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BAD SANTA 2,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BARBERSHOP: THE NEXT CUT,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BARRY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BATMAN V SUPERMAN: DAWN OF JUSTICE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BEAUTIFUL PAIN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BEFORE THE FLOOD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BEING 17,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BELIEVE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BEN-HUR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),A BIGGER SPLASH,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BILAL,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BILLY LYNN'S LONG HALFTIME WALK,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE BIRTH OF A NATION,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BLEED FOR THIS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BORN TO BE BLUE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE BOSS,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE BOY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BRIDGET JONES'S BABY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE BRONZE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),BROTHER NATURE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE BROTHERS GRIMSBY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CAPTAIN AMERICA: CIVIL WAR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CAPTAIN FANTASTIC,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CEMETERY OF SPLENDOR,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CENTRAL INTELLIGENCE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CERTAIN WOMEN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE CHARNEL HOUSE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CHEVALIER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CHIEF ZABU,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE CHOICE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CHRISTINE,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CITIZEN SOLDIER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CITY OF GOLD,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CLOSET MONSTER,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),COLLATERAL BEAUTY,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),THE COMEDIAN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),COMPLETE UNKNOWN,0,0,0,0,0,0,0,0
2017 (89th Academy Awards),CONFESSIONS OF A WOMANIZER,0,0,0,0,0,0,0,0
